#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
NGC4204               |11.07| 0.05|Sersic                 |Sersic   |disk | 1.2| 30.0| 1.002| 4.14e+41| 2.01| 0.813| 0.738| 6.77e+08| 6.15e+08|GALFIT|      |      | 1.00e+07|HII   | 1.0
NGC4207               |10.10| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0| 16.7| 0.990| 2.82e+42| 2.92| 0.983| 0.861| 5.58e+09| 1.04e+10|GALFIT| 0.468| 0.040| 1.68e+07|HII   | 5.0
NGC4207               | 9.96| 0.03|Sersic+exDisk          |exDisk   |disk |    | 12.0| 0.990| 3.21e+42| 2.05| 0.820| 0.861| 5.30e+09| 1.04e+10|GALFIT| 0.468| 0.040| 1.68e+07|HII   | 5.0
UGC7286               |10.64| 0.04|Sersic                 |Sersic   |mixed| 5.4| 10.0| 0.940| 7.69e+43|     |      | 0.941|         | 1.46e+11|C->B/T| 0.169| 0.045| 1.15e+08|HII   | 3.0
NGC4234               |10.27| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7| 19.6| 0.989| 7.69e+42| 1.39| 0.714| 0.746| 1.10e+10| 1.17e+10|GALFIT| 0.013| 0.006| 3.00e+07|HII   | 4.7
NGC4234               |14.98| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.989| 1.00e+41| 3.16| 1.034| 0.746| 2.08e+08| 1.17e+10|GALFIT| 0.013| 0.006| 3.00e+07|HII   | 4.7
NGC4237               | 9.24| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0| 30.6| 0.992| 6.25e+42| 2.51| 0.902| 0.849| 1.13e+10| 2.44e+10|GALFIT| 0.438| 0.004| 1.68e+07|HII   |13.2
NGC4237               | 8.97| 0.04|Sersic+exDisk          |exDisk   |disk |    | 22.0| 0.992| 8.01e+42| 1.94| 0.801| 0.849| 1.29e+10| 2.44e+10|GALFIT| 0.438| 0.004| 1.68e+07|HII   |13.2
NGC4244               | 7.67| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.9|152.3| 0.999| 1.75e+42| 1.65| 0.754| 0.767| 2.65e+09| 2.70e+09|GALFIT| 0.004| 0.001| 4.30e+06|HII   | 1.8
NGC4244               |13.66| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.999| 7.03e+39| 1.65| 0.754| 0.767| 1.07e+07| 2.70e+09|GALFIT| 0.004| 0.001| 4.30e+06|HII   | 1.8
NGC4253               |10.65| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.4| 10.0| 0.944| 2.42e+43| 1.84| 0.784| 0.805| 3.82e+10| 6.87e+10|GALFIT| 0.432| 0.004| 6.49e+07|SN    | 4.8
NGC4253               |10.95| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.944| 1.84e+43| 1.85| 0.786| 0.805| 2.91e+10| 6.87e+10|GALFIT| 0.432| 0.004| 6.49e+07|SN    | 4.8
MCG3-32-005           |11.15| 0.04|Sersic                 |Sersic   |disk | 1.0|  4.7| 0.992| 6.54e+41| 2.01| 0.813| 0.816| 1.07e+09| 1.07e+09|GALFIT|      |      | 1.31e+07|HII   | 2.8
NGC4290               | 9.36| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.6| 25.1| 0.982| 2.69e+43| 2.16| 0.839| 0.857| 4.54e+10| 5.08e+10|GALFIT| 0.085| 0.008| 3.70e+07|HII   |14.5
NGC4290               |11.94| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.982| 2.50e+42| 1.77| 0.773| 0.857| 3.89e+09| 5.08e+10|GALFIT| 0.085| 0.008| 3.70e+07|HII   |14.5
NGC4294               |11.75| 0.32|Sersic+exDisk          |Sersic   |bulge| 4.0| 26.4| 0.994| 6.20e+41| 2.86| 0.971| 0.699| 1.21e+09| 5.60e+09|GALFIT| 0.155| 0.119| 1.68e+07|HII   | 4.2
NGC4294               | 9.91| 0.04|Sersic+exDisk          |exDisk   |disk |    | 23.3| 0.994| 3.38e+42| 1.26| 0.694| 0.699| 4.72e+09| 5.60e+09|GALFIT| 0.155| 0.119| 1.68e+07|HII   | 4.2
NGC4314               | 8.18| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0| 21.8| 0.992| 1.56e+43| 2.64| 0.927| 0.916| 2.91e+10| 5.48e+10|GALFIT| 0.525| 0.096| 1.63e+07|LINER | 3.2
NGC4314               | 8.29| 0.04|Sersic+exDisk          |exDisk   |disk |    | 36.9| 0.992| 1.41e+43| 2.15| 0.837| 0.916| 2.37e+10| 5.48e+10|GALFIT| 0.525| 0.096| 1.63e+07|LINER | 3.2
NGC4385               | 9.69| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.6| 23.7| 0.990| 1.23e+43| 1.46| 0.724| 0.796| 1.79e+10| 2.06e+10|GALFIT| 0.041| 0.005| 2.90e+07|HII   | 6.9
NGC4385               |13.10| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 5.31e+41| 1.14| 0.677| 0.796| 7.23e+08| 2.06e+10|GALFIT| 0.041| 0.005| 2.90e+07|HII   | 6.9
NGC4395               |12.25| 0.18|Sersic+exDisk          |Sersic   |bulge| 4.0| 12.8| 0.999| 3.08e+40| 0.83| 0.635| 0.750| 3.94e+07| 4.35e+08|GALFIT| 0.107| 0.059| 4.70e+06|SN    | 1.8
NGC4395               | 9.94| 0.04|Sersic+exDisk          |exDisk   |disk |    | 33.4| 0.999| 2.58e+41| 1.75| 0.770| 0.750| 4.00e+08| 4.35e+08|GALFIT| 0.107| 0.059| 4.70e+06|SN    | 1.8
NGC4396               |13.54| 0.35|Sersic+exDisk          |Sersic   |bulge| 4.0|  7.0| 0.997| 1.20e+41| 2.65| 0.929| 0.816| 2.24e+08| 3.88e+09|GALFIT| 0.051| 0.086| 1.68e+07|HII   | 2.3
NGC4396               |10.36| 0.04|Sersic+exDisk          |exDisk   |disk |    | 23.6| 0.997| 2.24e+42| 2.01| 0.813| 0.816| 3.66e+09| 3.88e+09|GALFIT| 0.051| 0.086| 1.68e+07|HII   | 2.3
NGC4412               | 9.71| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.0| 22.0| 0.979| 1.33e+43| 1.69| 0.760| 0.806| 2.03e+10| 2.25e+10|GALFIT| 0.046| 0.006| 3.06e+07|SN    | 9.5
NGC4412               |12.99| 0.03|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.979| 6.47e+41| 3.55| 1.122| 0.806| 1.46e+09| 2.25e+10|GALFIT| 0.046| 0.006| 3.06e+07|SN    | 9.5
NGC4418               |11.19| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.2| 0.987| 3.07e+42| 2.99| 0.998| 0.890| 6.16e+09| 1.48e+10|GALFIT| 0.371| 0.066| 2.90e+07|SN    |14.2
NGC4418               |10.62| 0.03|Sersic+exDisk          |exDisk   |disk |    | 11.4| 0.987| 5.20e+42| 2.21| 0.847| 0.890| 8.86e+09| 1.48e+10|GALFIT| 0.371| 0.066| 2.90e+07|SN    |14.2
NGC4420               | 9.65| 0.03|Sersic+psfAgn          |Sersic   |disk | 0.7| 21.7| 0.994| 4.71e+42| 1.51| 0.732| 0.764| 6.94e+09| 7.30e+09|GALFIT| 0.009| 0.005| 1.76e+07|HII   |12.1
NGC4420               |14.74| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.994| 4.33e+40| 3.61| 1.136| 0.764| 9.90e+07| 7.30e+09|GALFIT| 0.009| 0.005| 1.76e+07|HII   |12.1
NGC4424               | 9.51| 0.03|Sersic                 |Sersic   |mixed| 1.7| 25.1| 0.999| 6.25e+41|     |      | 0.587|         | 7.39e+08|C->B/T| 0.078| 0.021| 6.00e+06|HII   | 3.2
NGC4435               | 7.56| 0.04|Sersic                 |Sersic   |mixed| 4.2| 21.4| 0.988| 2.89e+43|     |      | 1.293|         | 1.50e+11|C->B/T| 0.240| 0.064| 1.67e+07|LINER | 2.0
NGC4435               | 7.56| 0.04|Sersic                 |Sersic   |mixed| 4.2| 21.4| 0.988| 2.89e+43|     |      | 1.293|         | 1.50e+11|C->B/T| 0.240| 0.064| 1.67e+07|LINER | 2.0
NGC4448               | 8.58| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0| 18.6| 0.993| 1.08e+43| 2.64| 0.927| 0.945| 2.01e+10| 4.93e+10|GALFIT| 0.415| 0.006| 1.63e+07|HII   | 2.0
NGC4448               | 8.21| 0.04|Sersic+exDisk          |exDisk   |disk |    | 32.6| 0.993| 1.52e+43| 2.40| 0.882| 0.945| 2.70e+10| 4.93e+10|GALFIT| 0.415| 0.006| 1.63e+07|HII   | 2.0
NGC4470               |10.16| 0.03|Sersic+psfAgn          |Sersic   |disk | 0.6| 14.6| 0.996| 2.69e+42| 1.36| 0.709| 0.719| 3.84e+09| 3.92e+09|GALFIT| 0.011| 0.006| 1.68e+07|HII   | 4.6
NGC4470               |15.01| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.996| 3.09e+40| 1.05| 0.665| 0.719| 4.13e+07| 3.92e+09|GALFIT| 0.011| 0.006| 1.68e+07|HII   | 4.6
IRAS12274+0018        |12.36| 0.14|Sersic+psfAgn          |Sersic   |disk | 9.1|  3.4| 0.960| 1.76e+42| 2.51| 0.902| 0.894| 3.19e+09| 3.59e+09|GALFIT| 0.119| 0.032| 3.81e+07|HII   | 3.0
IRAS12274+0018        |14.53| 0.13|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.960| 2.38e+41| 4.34| 1.324| 0.894| 6.34e+08| 3.59e+09|GALFIT| 0.119| 0.032| 3.81e+07|HII   | 3.0
NGC4491               | 9.84| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.4| 23.9| 0.995| 3.61e+42| 2.05| 0.820| 0.833| 5.96e+09| 6.16e+09|GALFIT| 0.017| 0.007| 1.68e+07|HII   | 2.3
NGC4491               |14.26| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.995| 6.15e+40| 0.16| 0.552| 0.833| 6.83e+07| 6.16e+09|GALFIT| 0.017| 0.007| 1.68e+07|HII   | 2.3
NGC4500               | 9.66| 0.04|Sersic+psfAgn          |Sersic   |disk | 5.1| 10.3| 0.978| 4.01e+43| 1.28| 0.697| 0.783| 5.62e+10| 6.62e+10|GALFIT| 0.047| 0.010| 5.20e+07|HII   | 9.5
NGC4500               |12.93| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.978| 1.97e+42| 3.19| 1.041| 0.783| 4.13e+09| 6.62e+10|GALFIT| 0.047| 0.010| 5.20e+07|HII   | 9.5
NGC4495               |10.25| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.6|  9.0| 0.949| 4.60e+43| 2.46| 0.893| 0.852| 8.27e+10| 8.25e+10|GALFIT| 0.047| 0.014| 7.42e+07|HII   | 8.7
NGC4495               |13.52| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.949| 2.26e+42| 2.46| 0.893| 0.852| 4.06e+09| 8.25e+10|GALFIT| 0.047| 0.014| 7.42e+07|HII   | 8.7
IC3476                |10.60| 0.04|Sersic                 |Sersic   |disk | 1.2| 23.6| 0.995| 1.79e+42| 2.01| 0.813| 0.719| 2.93e+09| 2.59e+09|GALFIT|      |      | 1.68e+07|HII   | 1.0
NGC4509               |12.24| 0.04|Sersic                 |Sersic   |disk | 0.7|  9.5| 0.997| 1.73e+41| 2.01| 0.813| 0.625| 2.83e+08| 2.17e+08|GALFIT|      |      | 1.11e+07|HII   | 1.0
NGC4519               | 8.76| 0.05|Sersic+psfAgn          |Sersic   |disk | 3.4| 82.0| 0.992| 9.72e+42| 0.96| 0.652| 0.793| 1.28e+10| 1.55e+10|GALFIT|      |      | 1.68e+07|HII   | 9.5
NGC4519               |17.09| 0.83|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.992| 4.52e+39|-0.39| 0.491| 0.793| 4.47e+06| 1.55e+10|GALFIT|      |      | 1.68e+07|HII   | 9.5
NGC4548               | 8.01| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0| 22.5| 0.994| 1.81e+43| 3.07| 1.015| 0.816| 3.70e+10| 9.73e+10|GALFIT| 0.306| 0.072| 1.62e+07|SN    |13.2
NGC4548               | 7.12| 0.04|Sersic+exDisk          |exDisk   |disk |    | 81.2| 0.994| 4.10e+43| 2.04| 0.818| 0.816| 6.75e+10| 9.73e+10|GALFIT| 0.306| 0.072| 1.62e+07|SN    |13.2
IRAS12337+5044        |12.26| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.3|  6.6| 0.892| 3.67e+43| 1.90| 0.794| 0.734| 5.86e+10| 6.45e+10|GALFIT| 0.157| 0.042| 1.72e+08|HII   | 4.5
IRAS12337+5044        |14.08| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.892| 6.86e+42| 1.90| 0.794| 0.734| 1.10e+10| 6.45e+10|GALFIT| 0.157| 0.042| 1.72e+08|HII   | 4.5
IC3581                |11.24| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  5.4| 0.938| 3.73e+43| 2.99| 0.998| 0.842| 7.49e+10| 1.05e+11|GALFIT| 0.600| 0.035| 1.06e+08|HII   | 6.0
IC3581                |11.68| 0.04|Sersic+exDisk          |exDisk   |disk |    |  3.9| 0.938| 2.49e+43| 1.86| 0.788| 0.842| 3.95e+10| 1.05e+11|GALFIT| 0.600| 0.035| 1.06e+08|HII   | 6.0
NGC4592               | 9.49| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0| 53.4| 0.997| 2.18e+42| 2.65| 0.929| 0.727| 4.07e+09| 3.18e+09|GALFIT| 1.000| 0.265| 1.11e+07|HII   | 4.6
NGC4607               | 9.52| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.2| 32.0| 0.987| 4.80e+42| 2.33| 0.869| 1.054| 8.39e+09| 1.03e+10|GALFIT| 0.006| 0.003| 1.68e+07|LINER |13.2
NGC4607               |15.07| 0.10|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.987| 2.89e+40| 2.18| 0.842| 1.054| 4.90e+07| 1.03e+10|GALFIT| 0.006| 0.003| 1.68e+07|LINER |13.2
NGC4625               | 9.70| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.4| 23.2| 0.996| 1.23e+42| 1.61| 0.747| 0.760| 1.85e+09| 1.90e+09|GALFIT| 0.013| 0.003| 9.20e+06|HII   | 1.8
NGC4625               |14.39| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.996| 1.64e+40| 3.36| 1.078| 0.760| 3.56e+07| 1.90e+09|GALFIT| 0.013| 0.003| 9.20e+06|HII   | 1.8
NGC4630               | 9.19| 0.04|Sersic                 |Sersic   |mixed| 2.0| 36.2| 0.994| 5.65e+42|     |      | 0.695|         | 7.90e+09|C->B/T| 0.103| 0.027| 1.56e+07|HII   | 2.0
IC3690                |11.46| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.1|  6.9| 0.988| 4.90e+41| 2.44| 0.889| 0.875| 8.76e+08| 9.99e+08|GALFIT| 0.137| 0.034| 1.31e+07|HII   | 3.0
IC3690                |13.46| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.988| 7.76e+40| 2.44| 0.889| 0.875| 1.39e+08| 9.99e+08|GALFIT| 0.137| 0.034| 1.31e+07|HII   | 3.0
UGC7905_NED01         |12.93| 0.12|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.4| 0.963| 4.45e+42| 0.18| 0.554| 0.679| 4.96e+09| 1.87e+10|GALFIT| 0.326| 0.138| 7.87e+07|HII   | 4.3
UGC7905_NED01         |12.14| 0.05|Sersic+exDisk          |exDisk   |disk |    |  2.5| 0.963| 9.21e+42| 1.38| 0.712| 0.679| 1.32e+10| 1.87e+10|GALFIT| 0.326| 0.138| 7.87e+07|HII   | 4.3
MCG5-30-069           |10.84| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.5|  8.3| 0.964| 2.70e+43| 2.70| 0.939| 0.899| 5.10e+10| 5.02e+10|GALFIT| 0.023| 0.011| 7.40e+07|HII   | 9.8
MCG5-30-069           |14.89| 0.10|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.964| 6.47e+41| 5.17| 1.576| 0.899| 2.05e+09| 5.02e+10|GALFIT| 0.023| 0.011| 7.40e+07|HII   | 9.8
IC3721                |10.88| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.4| 0.945| 4.52e+43| 3.46| 1.101| 0.869| 1.00e+11| 1.40e+11|GALFIT| 0.566| 0.113| 9.85e+07|HII   | 7.4
IC3721                |11.17| 0.04|Sersic+exDisk          |exDisk   |disk |    |  7.9| 0.945| 3.46e+43| 1.91| 0.796| 0.869| 5.54e+10| 1.40e+11|GALFIT| 0.566| 0.113| 9.85e+07|HII   | 7.4
NGC4670               |10.27| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.5| 15.6| 0.994| 1.76e+42| 0.63| 0.609| 0.647| 2.16e+09| 2.37e+09|GALFIT| 0.040| 0.009| 1.43e+07|HII   | 2.3
NGC4670               |13.72| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.994| 7.32e+40|-0.36| 0.495| 0.647| 7.29e+07| 2.37e+09|GALFIT| 0.040| 0.009| 1.43e+07|HII   | 2.3
NGC4675               |11.92| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.8| 0.955| 1.07e+43| 3.79| 1.180| 0.952| 2.54e+10| 7.03e+10|GALFIT| 0.291| 0.040| 7.69e+07|HII   |13.2
NGC4675               |10.95| 0.04|Sersic+exDisk          |exDisk   |disk |    |  9.3| 0.955| 2.61e+43| 2.31| 0.865| 0.952| 4.54e+10| 7.03e+10|GALFIT| 0.291| 0.040| 7.69e+07|HII   |13.2
MCG7-26-051           |11.96| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  4.3| 0.842| 3.31e+43| 2.65| 0.929| 0.983| 6.19e+10| 1.71e+11|GALFIT| 0.383| 0.053| 1.47e+08|HII   | 4.7
MCG7-26-051           |11.44| 0.04|Sersic+exDisk          |exDisk   |disk |    |  3.1| 0.842| 5.34e+43| 2.01| 0.813| 0.983| 8.74e+10| 1.71e+11|GALFIT| 0.383| 0.053| 1.47e+08|HII   | 4.7
NGC4689               | 8.25| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0| 83.0| 0.995| 1.56e+43| 1.98| 0.808| 0.864| 2.54e+10| 5.56e+10|GALFIT| 0.489| 0.007| 1.68e+07|HII   |13.2
NGC4689               | 8.20| 0.04|Sersic+exDisk          |exDisk   |disk |    | 79.4| 0.995| 1.63e+43| 1.95| 0.803| 0.864| 2.63e+10| 5.56e+10|GALFIT| 0.489| 0.007| 1.68e+07|HII   |13.2
NGC4688               |11.01| 0.04|Sersic                 |Sersic   |disk | 1.0| 20.4| 0.988| 1.05e+42| 2.01| 0.813| 0.787| 1.72e+09| 1.66e+09|GALFIT|      |      | 1.56e+07|HII   | 2.8
NGC4704               |10.16| 0.05|Sersic                 |Sersic   |mixed| 4.2| 24.1| 0.924| 1.33e+44|     |      | 0.917|         | 2.46e+11|C->B/T| 0.105| 0.028| 1.23e+08|LINER | 4.8
NGC4701               | 9.65| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.6| 18.1| 0.993| 3.69e+42| 1.52| 0.733| 0.764| 5.44e+09| 5.78e+09|GALFIT| 0.019| 0.007| 1.56e+07|HII   | 2.0
NGC4701               |13.93| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.993| 7.17e+40| 1.71| 0.763| 0.764| 1.10e+08| 5.78e+09|GALFIT| 0.019| 0.007| 1.56e+07|HII   | 2.0
IRAS12468+3436        |14.03| 0.06|Sersic_n1              |Sersic_n1|disk | 1.0|  1.1| 0.680| 4.57e+43| 2.01| 0.813| 0.926| 7.48e+10| 8.52e+10|GALFIT|      |      | 4.98e+08|SN    | 3.5
IRAS12470+1404        |13.34| 0.06|Sersic                 |Sersic   |mixed| 2.0|  2.2| 0.993| 8.71e+40|     |      | 0.685|         | 1.20e+08|C->B/T| 0.121| 0.032| 1.31e+07|HII   | 2.0
MCG8-23-097           |10.96| 0.04|Sersic                 |Sersic   |mixed| 4.1|  4.6| 0.902| 7.10e+43|     |      | 1.093|         | 1.56e+11|C->B/T| 0.151| 0.040| 1.31e+08|LINER |14.2
NGC4747               |10.71| 0.04|Sersic                 |Sersic   |disk | 0.5| 23.9| 0.999| 1.18e+42| 2.01| 0.813| 0.876| 1.93e+09| 2.07e+09|GALFIT|      |      | 1.43e+07|HII   | 4.2
UGC8017               |12.27| 0.09|Sersic+psfAgn+exDisk   |Sersic   |bulge| 4.0| 10.0| 0.928| 1.46e+43| 2.50| 0.901| 0.881| 2.65e+10| 1.67e+11|GALFIT| 0.155| 0.040| 1.07e+08|TO    | 5.0
UGC8017               |14.19| 0.07|Sersic+psfAgn+exDisk   |psfAgn   |AGN  |    |     | 0.928| 2.49e+42|     |      | 0.881|         | 1.67e+11|GALFIT| 0.155| 0.040| 1.07e+08|TO    | 5.0
UGC8017               |10.43| 0.04|Sersic+psfAgn+exDisk   |exDisk   |disk |    |  7.2| 0.928| 7.94e+43| 2.27| 0.858| 0.881| 1.37e+11| 1.67e+11|GALFIT| 0.155| 0.040| 1.07e+08|TO    | 5.0
NGC4765               |10.72| 0.03|Sersic                 |Sersic   |disk | 1.3| 10.1| 0.995| 1.38e+42| 2.01| 0.813| 0.702| 2.26e+09| 1.95e+09|GALFIT|      |      | 1.56e+07|HII   | 1.0
UGC8041               |11.08| 0.05|Sersic_n4              |Sersic_n4|bulge| 4.0| 18.4| 1.004| 2.18e+42| 2.65| 0.929| 0.854| 4.07e+09| 3.74e+09|GALFIT| 1.000| 0.265| 2.30e+07|HII   | 1.0
UM530                 |13.30| 0.05|Sersic                 |Sersic   |mixed| 2.1|  1.5| 0.742| 3.14e+43|     |      | 0.634|         | 4.01e+10|C->B/T| 0.163| 0.043| 2.83e+08|HII   | 1.5
NGC4861               |13.58| 0.36|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.3| 0.994| 1.39e+41| 0.20| 0.556| 0.567| 1.56e+08| 3.57e+08|GALFIT| 0.444| 0.304| 1.85e+07|HII   | 5.3
NGC4861               |13.34| 0.24|Sersic+exDisk          |exDisk   |disk |    |  2.7| 0.994| 1.74e+41| 0.28| 0.566| 0.567| 1.98e+08| 3.57e+08|GALFIT| 0.444| 0.304| 1.85e+07|HII   | 5.3
NGC4868               |12.50| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.8| 0.969| 5.88e+42| 2.04| 0.818| 0.885| 9.68e+09| 1.71e+11|GALFIT| 0.061| 0.050| 7.40e+07|HII   | 8.7
NGC4868               | 9.54| 0.04|Sersic+exDisk          |exDisk   |disk |    |  9.4| 0.969| 8.98e+43| 1.71| 0.763| 0.885| 1.38e+11| 1.71e+11|GALFIT| 0.061| 0.050| 7.40e+07|HII   | 8.7
UGC8179               |10.73| 0.04|Sersic                 |Sersic   |mixed| 3.6|  8.9| 0.877| 2.45e+44|     |      | 0.937|         | 4.61e+11|C->B/T| 0.193| 0.051| 2.22e+08|HII   | 1.0
NGC5001               | 9.59| 0.06|Sersic+psfAgn          |Sersic   |disk | 5.0| 32.1| 0.927| 2.72e+44| 2.52| 0.904| 0.857| 4.95e+11| 4.82e+11|GALFIT| 0.026| 0.008| 1.35e+08|HII   | 2.7
NGC5001               |13.53| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.927| 7.22e+42| 6.01| 1.879| 0.857| 2.73e+10| 4.82e+11|GALFIT| 0.026| 0.008| 1.35e+08|HII   | 2.7
